DMI,density_z4,R_IRI,DMI_z2_x,density_z2,L_IRI,index,DMI_id,Density_x_y,R_IRI_y,DMI_z2_y,Density_y_y,L_IRI_y,DMI_fwd,D0,D48,SCI,BDI,BCI,Latitude,Longitude,Patching_color_map,Patching_depth,Patching_color
684,1.504,29.5,684,0.25,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670341,-87.165871,Good_condition,1,green
690,3.155,34.5,690,0.0,56.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670322,-87.165871,Good_condition,1,green
696,0.0,18.1,696,0.0,13.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670307,-87.165878,Good_condition,1,green
702,0.198,18.1,702,0.0,19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670292,-87.165886,Good_condition,1,green
708,0.0,26.3,708,0.835,84.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670277,-87.165894,Surface_patching_warning,2,yellow
714,0.0,35.9,714,0.501,84.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670261,-87.165894,Surface_patching_warning,2,yellow
720,0.984,13.0,720,0.0,42.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670246,-87.165901,Good_condition,1,green
726,0.426,30.6,726,2.132,38.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670231,-87.165909,Good_condition,1,green
732,0.0,14.3,732,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670216,-87.165909,Good_condition,1,green
738,0.46,19.1,738,0.729,96.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.6702,-87.165916,Surface_patching_warning,2,yellow
744,0.079,32.9,744,1.159,20.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670181,-87.165924,Good_condition,1,green
750,0.503,56.0,750,0.055,32.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.67017,-87.165924,Good_condition,1,green
756,0.0,15.6,756,0.0,59.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670151,-87.165932,Good_condition,1,green
762,1.244,22.0,762,0.0,26.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670135,-87.165939,Good_condition,1,green
768,0.431,48.5,768,0.0,22.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.67012,-87.165939,Good_condition,1,green
774,1.519,17.9,774,0.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670105,-87.165947,Good_condition,1,green
780,0.959,34.0,780,0.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.67009,-87.165955,Good_condition,1,green
786,1.194,13.3,786,0.0,69.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670074,-87.165962,Good_condition,1,green
792,2.037,62.2,792,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670059,-87.165962,Good_condition,1,green
798,0.0,41.0,798,0.291,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.67004,-87.16597,Good_condition,1,green
804,0.789,129.1,804,0.596,25.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.670025,-87.165977,Surface_patching_warning,2,yellow
810,0.24,16.2,810,0.0,48.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.67001,-87.165977,Good_condition,1,green
816,0.0,15.6,816,1.113,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669994,-87.165985,Good_condition,1,green
822,1.28,36.9,822,1.28,45.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.669979,-87.165993,Good_condition,1,green
